City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ixtapa,20.7,-105.2,33.89,21,98,3.89,MX,1680544315
1,cochrane,51.1834,-114.4687,0.83,62,100,3.6,CA,1680544315
2,sena madureira,-9.0656,-68.6569,29.41,67,94,2.13,BR,1680544315
3,mataura,-46.1927,168.8643,14.71,85,92,0.73,NZ,1680544315
4,ushuaia,-54.8,-68.3,16.81,36,20,7.2,AR,1680544128
5,meridian,43.6121,-116.3915,4.73,57,0,10.29,US,1680544315
6,kodiak,57.79,-152.4072,-0.27,93,100,1.54,US,1680544316
7,hobart,-42.8794,147.3294,12.25,88,40,2.57,AU,1680544316
8,aswan,24.0934,32.907,30.61,7,0,1.54,EG,1680544202
9,steinbach,50.1667,8.5667,6.73,46,0,7.72,DE,1680544316
10,kirakira,-10.4544,161.9205,26.69,84,71,2.97,SB,1680544181
11,yerbogachen,61.2767,108.0108,-5.44,94,100,5.64,RU,1680544316
12,punta arenas,-53.15,-70.9167,20.06,30,75,11.83,CL,1680544317
13,naze,28.3667,129.4833,18.51,62,93,9.48,JP,1680544317
14,tiksi,71.6872,128.8694,-13.64,96,56,3.72,RU,1680544317
15,lasa,46.6166,10.7002,8.49,91,30,3.23,IT,1680544317
16,hermanus,-34.4187,19.2345,16.0,81,80,1.99,ZA,1680544318
17,soyo,-6.1349,12.3689,27.7,78,97,3.87,AO,1680544318
18,yellowknife,62.456,-114.3525,-12.71,66,40,1.03,CA,1680544020
19,sovetskiy,61.3614,63.5842,-1.23,96,100,4.94,RU,1680544318
20,hovd,48.0056,91.6419,-8.44,21,4,2.57,MN,1680544318
21,mucurapo,10.6667,-61.5333,33.34,58,17,6.35,TT,1680544318
22,jamestown,42.097,-79.2353,15.8,44,0,5.14,US,1680543936
23,nanortalik,60.1432,-45.2371,2.68,87,100,1.53,GL,1680544319
24,vestmanna,62.1564,-7.1664,7.51,81,100,7.72,FO,1680544319
25,mahon,39.8885,4.2658,13.31,62,20,7.2,ES,1680544319
26,oussouye,12.485,-16.5469,34.1,38,32,4.36,SN,1680544319
27,avarua,-21.2078,-159.775,25.03,69,20,2.57,CK,1680544319
28,new norfolk,-42.7826,147.0587,12.06,73,100,1.31,AU,1680544128
29,butaritari,3.0707,172.7902,27.73,80,90,8.31,KI,1680544320
30,nome,64.5011,-165.4064,-15.96,92,0,0.0,US,1680544166
31,oktyabrskoye,43.0645,44.7417,12.08,47,75,2.0,RU,1680544320
32,vaini,-21.2,-175.2,24.09,88,20,3.6,TO,1680544320
33,cap malheureux,-19.9842,57.6142,26.37,73,61,1.34,MU,1680544320
34,deputatskiy,69.3,139.9,-19.26,99,82,1.87,RU,1680544320
35,nuuk,64.1835,-51.7216,-0.66,64,60,6.17,GL,1680544321
36,antalaha,-14.9003,50.2788,24.87,88,28,1.95,MG,1680544321
37,codrington,-38.2667,141.9667,10.9,92,49,2.09,AU,1680544321
38,svetlaya,46.5389,138.3297,4.63,81,100,2.53,RU,1680544321
39,vvedenskoye,55.4753,65.0847,1.55,83,3,2.72,RU,1680544321
40,lazaro cardenas,17.9583,-102.2,29.74,45,17,4.05,MX,1680544322
41,nishihara,26.1842,127.7558,19.6,64,40,7.2,JP,1680544322
42,kavieng,-2.5744,150.7967,27.41,76,97,2.73,PG,1680544194
43,atuona,-9.8,-139.0333,26.44,83,99,6.98,PF,1680544323
44,makaryev,57.8797,43.8069,7.37,88,100,2.94,RU,1680544323
45,carnarvon,-24.8667,113.6333,24.35,74,95,5.47,AU,1680544323
46,herat,34.5,62.0,13.61,27,2,3.94,AF,1680544323
47,bethel,41.3712,-73.414,14.12,41,20,5.66,US,1680544090
48,saint-philippe,-21.3585,55.7679,23.77,83,100,3.64,RE,1680544324
49,vaitape,-16.5167,-151.75,27.63,69,60,1.87,PF,1680544324
50,alofi,-19.0595,-169.9187,24.94,94,75,4.12,NU,1680544324
51,tokur,53.1333,132.9,-7.19,77,96,4.63,RU,1680544325
52,arraial do cabo,-22.9661,-42.0278,26.98,61,40,3.6,BR,1680544126
53,hobyo,5.3505,48.5268,28.71,71,4,6.6,SO,1680544325
54,kaitangata,-46.2817,169.8464,10.58,79,98,2.7,NZ,1680544325
55,laguna,38.421,-121.4238,11.83,42,0,4.12,US,1680544326
56,cayenne,4.9333,-52.3333,30.02,58,20,5.66,GF,1680544245
57,buluang,13.3068,123.3425,23.29,93,22,1.81,PH,1680544326
58,lebu,-37.6167,-73.65,15.07,64,0,8.2,CL,1680544327
59,havre-saint-pierre,50.2334,-63.5986,-3.8,68,0,10.8,CA,1680544327
60,acajutla,13.5928,-89.8275,30.62,53,40,5.04,SV,1680544328
61,maragogi,-9.0122,-35.2225,28.17,65,9,4.5,BR,1680544191
62,mahebourg,-20.4081,57.7,26.25,78,40,3.09,MU,1680544123
63,vanimo,-2.6741,141.3028,24.95,89,99,1.51,PG,1680544328
64,thompson,55.7435,-97.8558,-15.91,66,20,2.06,CA,1680544329
65,umba,66.6871,34.3429,-11.96,97,19,2.0,RU,1680544329
66,bredasdorp,-34.5322,20.0403,17.24,75,88,2.28,ZA,1680544112
67,bonavista,48.6499,-53.1147,1.44,74,16,8.82,CA,1680544330
68,komsomolskiy,40.4272,71.7189,15.4,55,75,6.17,UZ,1680544330
69,samarai,-10.6167,150.6667,28.35,77,100,3.91,PG,1680544330
70,mbandaka,0.0487,18.2603,25.9,73,58,1.57,CD,1680544331
71,puerto ayora,-0.7393,-90.3518,31.98,88,78,2.68,EC,1680544104
72,barrow,71.2906,-156.7887,-16.99,85,100,5.66,US,1680544117
73,ankang,32.68,109.0172,11.59,87,100,0.65,CN,1680544332
74,katsina,12.9894,7.6006,34.94,10,0,5.14,NG,1680544332
75,tuktoyaktuk,69.4541,-133.0374,-24.0,77,20,1.54,CA,1680544332
76,portland,45.5234,-122.6762,6.24,87,100,3.09,US,1680544156
77,inuvik,68.3499,-133.7218,-18.44,74,20,2.06,CA,1680544332
78,kuvandyk,51.4781,57.3552,5.85,69,83,3.44,RU,1680544332
79,nagaoka,37.45,138.85,6.7,79,0,1.53,JP,1680544333
80,saldanha,-33.0117,17.9442,19.03,85,40,4.32,ZA,1680544333
81,east london,-33.0153,27.9116,20.39,71,67,10.5,ZA,1680544334
82,ostrovnoy,68.0531,39.5131,-7.76,86,24,6.78,RU,1680544334
83,sola,-13.8833,167.55,28.19,75,77,7.6,VU,1680544334
84,norman wells,65.282,-126.8329,-9.98,85,75,2.06,CA,1680544334
85,bengkulu,-3.8004,102.2655,23.9,91,100,2.54,ID,1680544334
86,pevek,69.7008,170.3133,-33.07,99,83,3.1,RU,1680544334
87,bluff,-46.6,168.3333,14.89,78,62,6.15,NZ,1680544335
88,walvis bay,-22.9575,14.5053,21.53,64,5,5.66,NA,1680544335
89,rikitea,-23.1203,-134.9692,26.54,82,80,5.87,PF,1680544087
90,kapaa,22.0752,-159.319,22.18,91,100,6.17,US,1680544335
91,bridlington,54.0831,-0.1919,7.96,78,47,6.11,GB,1680544336
92,preobrazheniye,42.9019,133.9064,7.18,74,92,4.87,RU,1680544296
93,hilo,19.7297,-155.09,22.01,94,75,2.57,US,1680544100
94,santa clara,22.4,-79.9667,30.81,45,20,3.6,CU,1680544294
95,dubai,25.2582,55.3047,22.14,60,0,5.14,AE,1680544125
96,port hedland,-20.3167,118.5667,27.03,83,25,0.0,AU,1680544336
